T=100, N-stage=8, safety_margin=0.92, return=-52.790, total reward=-64.112
T=100, N-stage=8, safety_margin=0.94, return=-52.852, total reward=-64.211
T=100, N-stage=8, safety_margin=0.96, return=-52.969, total reward=-64.370
T=100, N-stage=8, safety_margin=0.98, return=-53.366, total reward=-64.846
T=100, N-stage=8, safety_margin=1.00, return=-54.912, total reward=-67.039
T=100, N-stage=16, safety_margin=0.92, return=-52.787, total reward=-64.108
T=100, N-stage=8, safety_margin=0.92, return=-52.790, total reward=-64.112
T=100, N-stage=8, safety_margin=0.94, return=-52.852, total reward=-64.211
T=100, N-stage=8, safety_margin=0.96, return=-52.969, total reward=-64.370
T=100, N-stage=8, safety_margin=0.98, return=-53.366, total reward=-64.846
T=100, N-stage=8, safety_margin=1.00, return=-54.912, total reward=-67.039
T=100, N-stage=16, safety_margin=0.92, return=-52.787, total reward=-64.108
T=100, N-stage=16, safety_margin=0.94, return=-52.849, total reward=-64.205
T=100, N-stage=16, safety_margin=0.96, return=-52.964, total reward=-64.363
T=100, N-stage=16, safety_margin=0.98, return=-53.360, total reward=-64.838
T=100, N-stage=16, safety_margin=1.00, return=-54.895, total reward=-67.013
T=100, N-stage=32, safety_margin=0.92, return=-52.778, total reward=-64.092
T=100, N-stage=32, safety_margin=0.94, return=-52.839, total reward=-64.190
T=100, N-stage=32, safety_margin=0.96, return=-52.954, total reward=-64.347
T=100, N-stage=32, safety_margin=0.98, return=-53.354, total reward=-64.827
T=100, N-stage=32, safety_margin=1.00, return=-54.889, total reward=-67.002
T=100, N-stage=64, safety_margin=0.92, return=-52.772, total reward=-64.082
T=100, N-stage=64, safety_margin=0.94, return=-52.833, total reward=-64.181
T=100, N-stage=64, safety_margin=0.96, return=-52.950, total reward=-64.341
T=100, N-stage=64, safety_margin=0.98, return=-53.349, total reward=-64.820
T=100, N-stage=64, safety_margin=1.00, return=-54.883, total reward=-66.993
T=100, N-stage=128, safety_margin=0.92, return=-52.769, total reward=-64.077
