env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
anm,ddpg-first_run,None,10,4807,138.1051,-7671.5424,75.6191
anm,ddpg-first_run,None,20,8066,233.9194,-19755.6681,213.7369
anm,ddpg-first_run,None,30,10142,296.1405,-5387.8599,43.6966
anm,ddpg-first_run,None,40,20142,582.9318,-8049.9912,75.4573
anm,ddpg-first_run,None,50,27083,785.6639,-4321.9905,87.5404
anm,ddpg-first_run,None,60,37083,1074.2285,-3798.5804,23.5618
anm,ddpg-first_run,None,70,47083,1361.3924,-3746.7190,37.9529
anm,ddpg-first_run,None,80,57083,1650.5498,-4188.1021,50.3261
anm,ddpg-first_run,None,90,67083,1935.9063,-3793.2680,17.3001
anm,ddpg-first_run,None,100,77083,2219.6634,-5461.2787,60.6958
anm,ddpg-first_run,None,110,87083,2504.6376,-1923.2115,48.1126
anm,ddpg-first_run,None,120,97083,2787.0017,-1187.7759,97.2527
anm,ddpg-first_run,None,130,107083,3060.5583,-211.6408,6.0171
anm,ddpg-first_run,None,140,117083,3328.1470,-256.5292,10.1271
anm,ddpg-first_run,None,150,127083,3593.9493,-284.1381,29.2615
anm,ddpg-first_run,None,160,137083,3863.3332,-178.0512,7.7488
anm,ddpg-first_run,None,170,147083,4128.4887,-123.5616,3.5974
anm,ddpg-first_run,None,180,157083,4395.9459,-184.7818,8.3826
anm,ddpg-first_run,None,190,167083,4666.9224,-153.0660,7.3527
anm,ddpg-first_run,None,200,177083,4937.2760,-148.2464,4.1802
anm,ddpg-first_run,None,210,187083,5209.7555,-156.9110,19.0451
anm,ddpg-first_run,None,220,197083,5481.1171,-102.7038,6.3710
anm,ddpg-first_run,None,230,207083,5753.8679,-81.6323,9.0381
anm,ddpg-first_run,None,240,217083,6027.3879,-60.0453,7.3488
anm,ddpg-first_run,None,250,227083,6297.8029,-34.8180,15.4481
anm,ddpg-first_run,None,260,237083,6568.1955,-94.5586,10.6686
anm,ddpg-first_run,None,270,247083,6841.4813,-54.7881,9.6316
anm,ddpg-first_run,None,280,257083,7113.4384,-33.3306,7.8539
anm,ddpg-first_run,None,290,267083,7384.5844,-35.9246,13.4076
anm,ddpg-first_run,None,300,277083,7657.9797,-33.3057,10.6166
anm,ddpg-first_run,None,310,287083,7931.7191,-35.9412,14.8061
anm,ddpg-first_run,None,320,297083,8205.4354,-25.4706,8.8419
anm,ddpg-first_run,None,330,307083,8476.0499,-25.1873,14.9361
anm,ddpg-first_run,None,340,317083,8746.9121,-97.8070,10.0158
anm,ddpg-first_run,None,350,327083,9020.0446,-29.6239,13.5468
anm,ddpg-first_run,None,360,337083,9295.7340,-28.7855,8.0931
anm,ddpg-first_run,None,370,347083,9570.1194,-57.4332,6.1143
anm,ddpg-first_run,None,380,357083,9842.9413,-34.4005,7.6216
anm,ddpg-first_run,None,390,367083,10120.8320,-26.0479,10.0057
anm,ddpg-first_run,None,400,377083,10392.5154,-28.6547,8.4441
anm,ddpg-first_run,None,410,387083,10663.5835,-44.7274,8.7322
anm,ddpg-first_run,None,420,397083,10937.2106,-24.9732,9.9446
anm,ddpg-first_run,None,430,407083,11208.8338,-69.5898,7.2510
anm,ddpg-first_run,None,440,417083,11487.5058,-48.6925,14.9991
anm,ddpg-first_run,None,450,427083,11763.4529,-28.9619,8.4434
anm,ddpg-first_run,None,460,437083,12035.7652,-30.1267,12.8394
anm,ddpg-first_run,None,470,447083,12306.2881,-30.5346,13.9536
anm,ddpg-first_run,None,480,457083,12578.0054,-26.2215,9.2679
anm,ddpg-first_run,None,490,467083,12846.8989,-47.3582,17.0212
anm,ddpg-first_run,None,500,477083,13119.4380,-42.2511,8.4138
anm,ddpg-first_run,None,510,487083,13395.1120,-711.7049,31.8837
anm,ddpg-first_run,None,520,497083,13673.2094,-276.4397,35.9352
anm,ddpg-first_run,None,530,507083,13949.2244,-409.4224,28.5639
anm,ddpg-first_run,None,540,517083,14223.0105,-557.0290,34.0760
anm,ddpg-first_run,None,550,527083,14494.4764,-93.7572,7.8462
anm,ddpg-first_run,None,560,537083,14760.4219,-53.6932,8.3746
anm,ddpg-first_run,None,570,547083,15028.8372,-85.2232,16.8797
anm,ddpg-first_run,None,580,557083,15298.1716,-35.9844,13.8986
anm,ddpg-first_run,None,590,567083,15568.9184,-53.3499,8.9090
anm,ddpg-first_run,None,600,577083,15841.2688,-46.8082,10.9355
anm,ddpg-first_run,None,610,587083,16109.8898,-35.8193,9.5137
anm,ddpg-first_run,None,620,597083,16380.1354,-40.6783,10.6129
anm,ddpg-first_run,None,630,607083,16651.5418,-85.7065,8.9613
anm,ddpg-first_run,None,640,617083,16923.2098,-76.6368,9.2570
anm,ddpg-first_run,None,650,627083,17191.7591,-76.2687,15.1232
anm,ddpg-first_run,None,660,637083,17461.9436,-67.3415,7.1210
anm,ddpg-first_run,None,670,647083,17730.2659,-58.8003,11.5801
anm,ddpg-first_run,None,680,657083,18001.0052,-114.1139,13.6857
anm,ddpg-first_run,None,690,667083,18272.2796,-51.5279,11.2597
anm,ddpg-first_run,None,700,677083,18543.4820,-48.6504,8.4644
anm,ddpg-first_run,None,710,687083,18816.6585,-36.2782,10.1692
anm,ddpg-first_run,None,720,697083,19089.6227,-29.7906,8.7557
anm,ddpg-first_run,None,730,707083,19361.4596,-26.2870,10.2909
anm,ddpg-first_run,None,740,717083,19632.9263,-45.2232,11.9539
anm,ddpg-first_run,None,750,727083,19904.1799,-39.2157,14.2573
anm,ddpg-first_run,None,760,737083,20176.6669,-31.3913,15.7461
anm,ddpg-first_run,None,770,747083,20447.0764,-36.9105,12.0634
anm,ddpg-first_run,None,780,757083,20721.7137,-28.7915,10.7568
anm,ddpg-first_run,None,790,767083,20991.5625,-63.3270,7.8639
anm,ddpg-first_run,None,800,777083,21262.5589,-44.2140,9.2178
anm,ddpg-first_run,None,810,787083,21535.4766,-24.2364,13.1204
anm,ddpg-first_run,None,820,797083,21808.3157,-36.1372,18.8015
anm,ddpg-first_run,None,830,807083,22080.3389,-40.3413,16.4441
anm,ddpg-first_run,None,840,817083,22352.9647,-94.1194,7.8163
anm,ddpg-first_run,None,850,827083,22625.9828,-66.9694,7.8031
anm,ddpg-first_run,None,860,837083,22900.3443,-77.1196,7.7977
anm,ddpg-first_run,None,870,847083,23176.7011,-80.1420,10.4555
anm,ddpg-first_run,None,880,857083,23451.1937,-33.1233,7.5526
anm,ddpg-first_run,None,890,867083,23722.6898,-30.6759,7.8428
anm,ddpg-first_run,None,900,877083,23997.6737,-31.5960,6.4461
anm,ddpg-first_run,None,910,887083,24270.3150,-37.2217,14.7325
anm,ddpg-first_run,None,920,897083,24545.2571,-38.9188,11.8863
anm,ddpg-first_run,None,930,907083,24819.3798,-38.9157,11.2223
anm,ddpg-first_run,None,940,917083,25091.0440,-61.4855,9.6714
anm,ddpg-first_run,None,950,927083,25362.5430,-133.1087,14.2213
anm,ddpg-first_run,None,960,937083,25638.2441,-35.6887,11.3541
anm,ddpg-first_run,None,970,947083,25912.0926,-86.9931,11.4905
anm,ddpg-first_run,None,980,957083,26187.8706,-64.8148,8.4350
anm,ddpg-first_run,None,990,967083,26462.0643,-43.4878,7.9642
anm,ddpg-first_run,None,1000,977083,26726.6480,-38.4339,10.4988
anm,ddpg-first_run,None,1010,987083,26989.3520,-68.3954,8.8191
anm,ddpg-first_run,None,1020,997083,27253.8756,-60.9483,7.5132
