env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
anm,ppo-first_run,None,10,40000,229.1206,-386.4046,23.4957
anm,ppo-first_run,None,20,80000,458.9257,-206.1680,16.5852
anm,ppo-first_run,None,30,120000,690.1377,-145.6363,17.3160
anm,ppo-first_run,None,40,160000,919.3773,-131.6911,17.3578
anm,ppo-first_run,None,50,200000,1146.0927,-129.2086,16.7041
anm,ppo-first_run,None,60,240000,1375.0220,-121.4583,17.9339
anm,ppo-first_run,None,70,280000,1603.4409,-124.0317,17.2681
anm,ppo-first_run,None,80,320000,1831.5399,-117.6271,20.0490
anm,ppo-first_run,None,90,360000,2062.8052,-373.6827,25.0001
anm,ppo-first_run,None,100,400000,2293.7178,-286.8644,21.6350
anm,ppo-first_run,None,110,440000,2525.2579,-329.3963,23.6182
anm,ppo-first_run,None,120,480000,2758.9246,-556.3408,32.7740
anm,ppo-first_run,None,130,520000,2988.6730,-619.2583,44.2123
anm,ppo-first_run,None,140,560000,3218.4012,-727.2937,71.1008
anm,ppo-first_run,None,150,600000,3448.9312,-913.1257,109.1850
anm,ppo-first_run,None,160,640000,3690.0978,-4603.2050,84.5264
anm,ppo-first_run,None,170,680000,3933.1861,-3341.0066,85.5725
anm,ppo-first_run,None,180,720000,4176.9193,-9714.9715,43.2173
anm,ppo-first_run,None,190,760000,4422.4591,-6697.4387,94.9202
anm,ppo-first_run,None,200,800000,4668.9927,-5376.2307,78.6068
anm,ppo-first_run,None,210,840000,4913.5791,-6590.0760,97.8010
anm,ppo-first_run,None,220,880000,5215.6921,-4657.2394,95.7098
anm,ppo-first_run,None,230,920000,5504.4673,-2515.7535,122.1869
anm,ppo-first_run,None,240,960000,5785.6063,-2860.6876,88.7174
anm,ppo-first_run,None,250,1000000,6080.6867,-1797.5450,88.8055
anm,ppo-first_run,None,260,1040000,6365.7843,-1581.2032,87.1987
anm,ppo-first_run,None,270,1080000,6648.5288,-1559.3914,92.3687
anm,ppo-first_run,None,280,1120000,6936.4695,-1539.2873,77.4186
anm,ppo-first_run,None,290,1160000,7222.2386,-1225.7069,108.5319
anm,ppo-first_run,None,300,1200000,7507.8131,-1085.3862,131.8629
anm,ppo-first_run,None,310,1240000,7793.3993,-1114.0854,125.4709
anm,ppo-first_run,None,320,1280000,8079.6481,-2351.9603,155.0046
anm,ppo-first_run,None,330,1320000,8370.1014,-563.3480,32.6607
anm,ppo-first_run,None,340,1360000,8658.7381,-628.2296,49.3156
anm,ppo-first_run,None,350,1400000,8944.1174,-631.8073,61.9357
anm,ppo-first_run,None,360,1440000,9228.3898,-720.2709,67.8379
anm,ppo-first_run,None,370,1480000,9507.2896,-732.1983,91.7048
anm,ppo-first_run,None,380,1520000,9780.1457,-609.9829,54.1781
anm,ppo-first_run,None,390,1560000,10056.9751,-715.0846,60.5144
anm,ppo-first_run,None,400,1600000,10336.6655,-780.3464,48.3921
anm,ppo-first_run,None,410,1640000,10624.5292,-786.6620,40.7790
