env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
anm,td3-first_run,None,10,10000,264.8596,-122.0546,5.9274
anm,td3-first_run,None,20,20000,528.2880,-182.3454,9.0437
anm,td3-first_run,None,30,30000,791.8437,-82.2706,7.5860
anm,td3-first_run,None,40,40000,1057.0817,-79.3402,10.7885
anm,td3-first_run,None,50,50000,1322.0844,-81.4431,12.0984
anm,td3-first_run,None,60,60000,1588.4225,-69.7500,7.5481
anm,td3-first_run,None,70,70000,1856.6511,-70.0612,9.1376
anm,td3-first_run,None,80,80000,2123.1549,-74.7316,11.6020
anm,td3-first_run,None,90,90000,2390.1429,-72.4617,7.5375
anm,td3-first_run,None,100,100000,2658.5442,-68.6988,8.9329
anm,td3-first_run,None,110,110000,2928.2784,-70.5237,10.1416
anm,td3-first_run,None,120,120000,3196.9339,-70.5320,10.2310
anm,td3-first_run,None,130,130000,3463.0730,-73.4185,8.1020
anm,td3-first_run,None,140,140000,3731.3374,-88.2219,5.5619
anm,td3-first_run,None,150,150000,4000.4448,-73.0885,9.2119
anm,td3-first_run,None,160,160000,4267.0838,-71.7633,10.6330
anm,td3-first_run,None,170,170000,4536.2295,-69.9136,11.0275
anm,td3-first_run,None,180,180000,4804.3373,-73.0954,11.6083
anm,td3-first_run,None,190,190000,5071.4799,-97.0934,3.7281
anm,td3-first_run,None,200,200000,5337.3796,-67.1045,10.0804
anm,td3-first_run,None,210,210000,5604.0512,-63.8721,8.5896
anm,td3-first_run,None,220,220000,5870.9978,-67.9300,8.5981
anm,td3-first_run,None,230,230000,6137.3942,-70.2299,10.3937
anm,td3-first_run,None,240,240000,6402.8699,-56.3932,11.1639
anm,td3-first_run,None,250,250000,6668.6333,-24.3074,11.1939
anm,td3-first_run,None,260,260000,6934.1366,-25.2327,9.3227
anm,td3-first_run,None,270,270000,7198.0667,-28.7186,10.3018
anm,td3-first_run,None,280,280000,7460.4925,-38.3326,13.7872
anm,td3-first_run,None,290,290000,7728.8933,-33.4393,10.8639
anm,td3-first_run,None,300,300000,7993.5859,-25.1181,9.5344
anm,td3-first_run,None,310,310000,8258.3547,-27.8942,11.7049
anm,td3-first_run,None,320,320000,8525.1237,-27.7405,11.1601
anm,td3-first_run,None,330,330000,8790.3987,-24.4265,11.7940
anm,td3-first_run,None,340,340000,9056.2568,-22.7018,8.2317
anm,td3-first_run,None,350,350000,9324.3284,-16.1226,8.3271
anm,td3-first_run,None,360,360000,9593.8426,-24.4335,12.1915
anm,td3-first_run,None,370,370000,9860.9850,-17.4513,7.8690
anm,td3-first_run,None,380,380000,10125.2357,-29.4024,9.3529
anm,td3-first_run,None,390,390000,10396.6511,-18.9670,5.5539
anm,td3-first_run,None,400,400000,10665.1744,-28.8482,8.8596
anm,td3-first_run,None,410,410000,10934.0389,-20.8400,9.0809
anm,td3-first_run,None,420,420000,11205.8143,-22.2010,12.9203
anm,td3-first_run,None,430,430000,11476.4303,-37.2662,10.4955
anm,td3-first_run,None,440,440000,11749.4804,-26.4529,8.7682
anm,td3-first_run,None,450,450000,12014.8712,-27.5622,8.9539
anm,td3-first_run,None,460,460000,12283.3173,-29.1489,19.4729
anm,td3-first_run,None,470,470000,12552.2504,-22.9565,10.0079
anm,td3-first_run,None,480,480000,12822.8715,-20.9331,9.8382
anm,td3-first_run,None,490,490000,13089.1081,-25.0248,11.8458
