env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
half,sac-default,None,10,162,1.3060,1.8766,2.9704
half,sac-default,None,20,338,2.6745,0.0973,4.6913
half,sac-default,None,30,522,4.0860,4.7076,2.1604
half,sac-default,None,40,716,5.5900,7.9562,2.9067
half,sac-default,None,50,989,7.6558,16.2502,8.3655
half,sac-default,None,60,1224,9.4722,13.3311,4.6160
half,sac-default,None,70,1440,11.1647,10.8369,2.9979
half,sac-default,None,80,1643,12.7030,12.9835,3.0553
half,sac-default,None,90,1851,14.6342,12.3328,2.3258
half,sac-default,None,100,2066,16.5351,13.1142,3.3338
half,sac-default,None,110,2263,18.2705,13.7937,2.8719
half,sac-default,None,120,2491,20.2063,18.1892,7.7288
half,sac-default,None,130,2745,22.5278,22.1117,6.5222
half,sac-default,None,140,3108,25.4506,24.1072,7.3146
half,sac-default,None,150,3568,29.3454,22.7828,7.9867
half,sac-default,None,160,3974,32.6125,23.4662,6.5594
half,sac-default,None,170,4342,35.7429,14.4739,4.6225
half,sac-default,None,180,4892,40.1714,22.5249,7.6872
half,sac-default,None,190,5591,45.4618,47.0965,15.6998
half,sac-default,None,200,6408,52.2725,44.1702,17.0262
half,sac-default,None,210,7197,58.6052,58.2090,21.5898
half,sac-default,None,220,8335,68.2779,55.0105,19.8763
half,sac-default,None,230,9563,77.3523,55.7743,8.8352
half,sac-default,None,240,10263,83.7309,57.4483,7.6419
half,sac-default,None,250,11011,89.4943,50.5129,4.6570
half,sac-default,None,260,11661,95.2502,48.3670,8.9309
half,sac-default,None,270,13299,108.0445,88.2481,27.4582
half,sac-default,None,280,22240,183.7019,147.6082,2.4916
half,sac-default,None,290,31353,251.5308,140.5800,2.6783
half,sac-default,None,300,40796,326.4312,143.3077,24.2357
half,sac-default,None,310,47561,385.6058,76.4209,19.5262
half,sac-default,None,320,52655,422.8357,137.2466,2.9736
half,sac-default,None,330,61835,496.6944,141.8641,2.7947
half,sac-default,None,340,71835,571.5960,147.0569,2.7659
half,sac-default,None,350,81018,652.8735,154.7019,4.4183
half,sac-default,None,360,89789,728.0434,130.1942,3.6815
half,sac-default,None,370,99747,811.4397,168.4314,3.8282
half,sac-default,None,380,107970,879.3184,136.5651,4.3239
half,sac-default,None,390,117970,961.5591,164.3965,5.5016
half,sac-default,None,400,124369,1013.1091,156.3534,3.5976
half,sac-default,None,410,133731,1103.7621,156.7919,4.7065
half,sac-default,None,420,142911,1183.6878,152.9294,4.0384
half,td3-default,None,10,200,1.2911,22.1540,6.9157
half,td3-default,None,20,391,2.5087,22.6985,5.3161
half,td3-default,None,30,541,3.5265,7.9344,0.9590
half,td3-default,None,40,682,4.4942,17.5584,1.8198
half,td3-default,None,50,950,6.5528,29.8483,5.4163
half,td3-default,None,60,1243,8.7160,20.0907,2.1705
half,td3-default,None,70,1481,10.5890,14.9051,2.3911
half,td3-default,None,80,1697,12.9957,13.3132,3.2919
half,td3-default,None,90,1914,14.8571,10.6559,2.9378
half,td3-default,None,100,2129,16.4210,12.8437,3.0856
half,td3-default,None,110,2352,18.0016,13.7413,2.2507
half,td3-default,None,120,2619,19.8711,41.3649,11.4366
half,td3-default,None,130,3615,26.5544,58.3768,15.4082
half,td3-default,None,140,5171,37.7742,10.0025,1.8808
half,td3-default,None,150,5633,41.6965,8.9160,0.6776
half,td3-default,None,160,5864,43.8984,9.0701,1.0475
half,td3-default,None,170,6035,45.3239,9.6264,0.6677
half,td3-default,None,180,6242,47.0867,12.2653,0.6430
half,td3-default,None,190,6645,50.1695,19.3079,5.4627
half,td3-default,None,200,7883,60.1772,83.4588,9.7232
half,td3-default,None,210,10107,76.1547,97.4400,19.2997
half,td3-default,None,220,12289,90.2019,71.8558,25.0482
half,td3-default,None,230,14442,107.2606,53.2984,15.2165
half,td3-default,None,240,15768,116.8736,69.4271,41.6535
half,td3-default,None,250,20355,148.5787,83.1869,18.7034
half,td3-default,None,260,26203,187.1297,81.0458,8.3602
half,td3-default,None,270,33937,238.1845,136.0711,2.5111
half,td3-default,None,280,41716,289.1919,103.8341,3.8456
half,td3-default,None,290,48674,334.7948,97.8879,24.4392
half,td3-default,None,300,55803,383.0839,77.2706,13.7520
half,td3-default,None,310,61250,420.2342,115.3025,13.2155
half,td3-default,None,320,67804,467.9463,88.3010,20.3219
half,td3-default,None,330,76493,535.4363,108.0410,6.0759
half,td3-default,None,340,81504,573.7269,60.6644,22.2858
half,td3-default,None,350,84161,595.3892,31.4381,22.8362
half,td3-default,None,360,90021,641.0089,79.3048,5.5479
half,td3-default,None,370,95005,679.0097,104.4940,13.2132
half,td3-default,None,380,99511,713.8364,128.8970,15.8893
half,td3-default,None,390,105622,765.3906,92.5214,8.8876
half,td3-default,None,400,114619,846.0692,104.0192,9.6914
half,td3-default,None,410,121890,905.9444,85.3111,7.0437
t,ddpg-default,brc,10,1664,12.0595,-19.8615,0.0000
t,ddpg-default,brc,20,2016,14.4740,-19.8615,0.0000
t,ddpg-default,brc,30,2336,16.8520,-19.8615,0.0000
t,ddpg-default,gru,10,1216,2.4407,-19.8615,0.0000
t,ddpg-default,gru,20,1600,3.1275,-19.8615,0.0000
t,ddpg-default,brc,40,2656,19.6988,-19.8615,0.0000
t,ddpg-default,gru,30,1920,3.7191,-19.8615,0.0000
t,ddpg-default,gru,40,2272,4.3956,-19.8615,0.0000
t,ddpg-default,brc,50,2976,22.3226,-19.8615,0.0000
t,ddpg-default,gru,50,2688,5.1609,-19.8615,0.0000
t,ddpg-default,gru,60,3040,5.8133,-19.8615,0.0000
t,ddpg-default,brc,60,3296,24.9543,-19.8615,0.0000
t,ddpg-default,gru,70,3360,6.4592,-19.8615,0.0000
t,ddpg-default,gru,80,3808,7.2904,-19.8615,0.0000
t,ddpg-default,brc,70,3616,27.7200,-19.8615,0.0000
t,ddpg-default,gru,90,6368,12.4261,-19.8615,0.0000
t,ddpg-default,brc,80,4192,32.9356,-19.8615,0.0000
t,ddpg-default,gru,100,14272,28.1079,-19.8615,0.0000
t,ddpg-default,gru,110,14592,28.6956,-19.8615,0.0000
t,ddpg-default,gru,120,14912,29.3180,-19.8615,0.0000
t,ddpg-default,brc,90,7072,59.4467,-19.8615,0.0000
t,ddpg-default,gru,130,15232,29.9246,-19.8615,0.0000
t,ddpg-default,gru,140,15584,30.5626,-19.8615,0.0000
t,ddpg-default,brc,100,7520,63.5996,-19.8615,0.0000
t,ddpg-default,gru,150,15936,31.2681,-19.8615,0.0000
t,ddpg-default,gru,160,16640,32.8145,-19.8615,0.0000
t,ddpg-default,brc,110,7840,66.5152,-19.8615,0.0000
t,ddpg-default,gru,170,16992,33.5059,-19.8615,0.0000
t,ddpg-default,gru,180,17312,34.1428,-19.8615,0.0000
t,ddpg-default,gru,190,17632,34.7730,-15.2042,0.9707
t,ddpg-default,brc,120,8160,69.5248,-19.8615,0.0000
t,ddpg-default,gru,200,17952,35.4208,-19.8615,0.0000
t,ddpg-default,gru,210,18272,36.0864,-19.8615,0.0000
t,ddpg-default,brc,130,8480,72.5052,-19.8615,0.0000
t,ddpg-default,gru,220,18592,36.7081,-19.8615,0.0000
t,ddpg-default,gru,230,18912,37.3199,-19.8615,0.0000
t,ddpg-default,brc,140,8800,75.4268,-19.8615,0.0000
t,ddpg-default,gru,240,19232,37.9025,-19.8615,0.0000
t,ddpg-default,gru,250,20608,40.8172,-19.8615,0.0000
t,ddpg-default,brc,150,9120,78.3953,-19.8615,0.0000
t,ddpg-default,gru,260,20928,41.4789,-19.8615,0.0000
t,ddpg-default,gru,270,21248,42.1563,-19.8615,0.0000
t,ddpg-default,brc,160,9440,81.3075,-19.8615,0.0000
t,ddpg-default,gru,280,24640,49.3327,-19.8615,0.0000
t,ddpg-default,gru,290,27200,54.6379,-19.8615,0.0000
t,ddpg-default,brc,170,9760,84.1017,-19.8615,0.0000
t,ddpg-default,gru,300,27520,55.2970,-19.8615,0.0000
t,ddpg-default,gru,310,27840,55.9245,-19.8615,0.0000
t,ddpg-default,brc,180,10080,86.9802,-19.8615,0.0000
t,ddpg-default,gru,320,28224,56.6784,-19.8615,0.0000
t,ddpg-default,gru,330,28576,57.3897,-19.8615,0.0000
t,ddpg-default,brc,190,10400,89.9093,-19.8615,0.0000
t,ddpg-default,gru,340,29024,58.2312,-19.8615,0.0000
t,ddpg-default,gru,350,29440,58.9975,-19.8615,0.0000
t,ddpg-default,brc,200,10720,92.8021,-19.8615,0.0000
t,ddpg-default,gru,360,29824,59.7335,-19.8615,0.0000
t,ddpg-default,gru,370,30208,60.5261,-19.8615,0.0000
t,ddpg-default,brc,210,11040,95.6048,-19.8615,0.0000
t,ddpg-default,gru,380,30592,61.3013,-19.8615,0.0000
t,ddpg-default,brc,220,11360,98.6050,-11.4492,9.3001
t,ddpg-default,gru,390,31008,62.1433,-19.8615,0.0000
t,ddpg-default,brc,230,11680,101.5640,-6.7095,8.6100
t,ddpg-default,gru,400,31360,62.8033,-19.8615,0.0000
t,ddpg-default,brc,240,12000,104.4505,-19.8615,0.0000
t,ddpg-default,brc,250,12320,106.6612,-19.8615,0.0000
t,ddpg-default,brc,260,20352,166.1102,-19.8615,0.0000
t,ddpg-default,brc,270,30272,240.8529,-19.8615,0.0000
t,ddpg-default,brc,280,40192,316.8582,-19.8615,0.0000
t,ddpg-default,brc,290,50112,387.2743,-19.8615,0.0000
t,ddpg-default,brc,300,60032,463.5589,-19.8615,0.0000
t,ddpg-default,brc,310,69952,541.2889,-19.8615,0.0000
t,ddpg-default,brc,320,79872,614.8332,-19.8615,0.0000
t,ddpg-default,brc,330,89792,692.4169,-19.8615,0.0000
t,ddpg-default,brc,340,99712,766.8794,-19.8615,0.0000
t,ddpg-default,brc,350,109632,843.0564,-19.8615,0.0000
t,ddpg-default,brc,360,119552,920.2501,-19.8615,0.0000
t,ddpg-default,brc,370,129472,996.2592,-19.8615,0.0000
t,ddpg-default,brc,380,139392,1072.9686,-19.8615,0.0000
t,ddpg-default,brc,390,149312,1146.0975,-19.8615,0.0000
t,ddpg-default,brc,400,154624,1185.4410,-19.8615,0.0000
t,ddpg-default,gru,10,960,1.7683,-19.8615,0.0000
t,ddpg-default,gru,20,1344,2.4331,-19.8615,0.0000
t,ddpg-default,gru,30,1664,2.8777,-19.8615,0.0000
t,ddpg-default,gru,40,1984,3.4277,-19.8615,0.0000
t,ddpg-default,gru,50,2304,3.8844,-19.8615,0.0000
t,ddpg-default,gru,60,2624,4.3511,-19.8615,0.0000
t,ddpg-default,gru,70,2976,4.8475,-19.8615,0.0000
t,ddpg-default,gru,80,8384,12.8391,-19.8615,0.0000
t,ddpg-default,gru,90,8768,13.3835,-19.8615,0.0000
t,ddpg-default,gru,100,9088,13.8364,-19.8615,0.0000
t,ddpg-default,gru,110,9472,14.3710,-19.8615,0.0000
t,ddpg-default,gru,120,9824,14.9034,-19.8615,0.0000
t,ddpg-default,gru,130,10208,15.4492,-19.8615,0.0000
t,ddpg-default,gru,140,10528,15.9270,-19.8615,0.0000
t,ddpg-default,gru,150,10880,16.5190,-19.8615,0.0000
t,ddpg-default,gru,160,11200,16.9762,-19.8615,0.0000
t,ddpg-default,gru,170,11520,17.4562,-19.8615,0.0000
t,ddpg-default,gru,180,11904,18.0846,-19.8615,0.0000
t,ddpg-default,gru,190,12256,18.6677,-19.8615,0.0000
t,ddpg-default,gru,200,12576,19.1631,-19.8615,0.0000
t,ddpg-default,gru,210,12928,19.7662,-19.8615,0.0000
t,ddpg-default,gru,220,13248,20.3245,-19.8615,0.0000
t,ddpg-default,gru,230,13600,20.8108,-19.8615,0.0000
t,ddpg-default,gru,240,13920,21.2506,-19.8615,0.0000
t,ddpg-default,gru,250,14240,21.7708,-19.8615,0.0000
t,ddpg-default,gru,260,14560,22.2823,-19.8615,0.0000
t,ddpg-default,gru,270,14880,22.8394,-19.8615,0.0000
t,ddpg-default,gru,280,15200,23.3953,-19.8615,0.0000
t,ddpg-default,gru,290,15520,23.9339,-19.8615,0.0000
t,ddpg-default,gru,300,15840,24.3755,-19.8615,0.0000
t,ddpg-default,gru,310,16160,24.8927,-19.8615,0.0000
t,ddpg-default,gru,320,16480,25.4522,-19.8615,0.0000
t,ddpg-default,gru,330,16800,25.8994,-19.8615,0.0000
t,ddpg-default,gru,340,17120,26.3920,-19.8615,0.0000
t,ddpg-default,gru,350,17440,26.8323,-19.8615,0.0000
t,ddpg-default,gru,360,17760,27.3124,-19.8615,0.0000
t,ddpg-default,gru,370,20256,31.0183,-19.8615,0.0000
t,ddpg-default,gru,380,20672,31.6597,-19.8615,0.0000
t,ddpg-default,gru,390,25184,39.0326,4.3322,4.8030
t,ddpg-default,gru,400,25536,39.6456,4.9396,4.7535
t,ddpg-default,brc,10,216,2.4343,-19.8669,0.0000
t,ddpg-default,brc,20,376,3.9669,-19.8669,0.0000
t,ddpg-default,brc,30,560,5.5227,-19.8669,0.0000
t,ddpg-default,brc,40,752,7.4168,-19.8669,0.0000
t,ddpg-default,brc,50,952,9.0529,-19.8669,0.0000
t,ddpg-default,brc,60,1176,10.8528,-19.8669,0.0000
t,ddpg-default,brc,70,4848,45.5152,-19.8669,0.0000
t,ddpg-default,brc,80,5064,47.2057,-19.8669,0.0000
t,ddpg-default,brc,90,5264,48.7706,-19.8669,0.0000
t,ddpg-default,brc,100,5480,50.5978,-19.8669,0.0000
t,ddpg-default,brc,110,5672,52.5798,-19.8669,0.0000
t,ddpg-default,brc,120,5864,54.5441,-19.8669,0.0000
t,ddpg-default,brc,130,6072,56.1794,-19.8669,0.0000
t,ddpg-default,brc,140,6344,58.3194,-19.8669,0.0000
t,ddpg-default,brc,150,6880,62.6083,-19.8669,0.0000
t,ddpg-default,brc,160,7168,64.8907,-19.8669,0.0000
t,ddpg-default,brc,170,7408,66.7793,-19.8669,0.0000
t,ddpg-default,brc,180,7672,69.4148,-19.8669,0.0000
t,ddpg-default,brc,190,7856,71.2871,-19.8669,0.0000
t,ddpg-default,brc,200,8080,73.5483,-19.8669,0.0000
t,ddpg-default,brc,210,8312,75.8723,-19.8669,0.0000
t,ddpg-default,brc,220,8544,78.1556,-19.8669,0.0000
t,ddpg-default,brc,230,9248,84.5860,-19.8669,0.0000
t,ddpg-default,brc,240,9528,86.7974,-19.8669,0.0000
t,ddpg-default,brc,250,9752,88.5684,-19.8669,0.0000
t,ddpg-default,brc,260,9944,90.5651,-19.8669,0.0000
t,ddpg-default,brc,270,10152,92.5663,-19.8669,0.0000
t,ddpg-default,brc,280,10360,94.8232,-19.8669,0.0000
t,ddpg-default,brc,290,11704,106.2595,2.0340,4.5656
t,ddpg-default,brc,300,11872,107.8844,4.6715,4.4909
t,ddpg-default,brc,310,12032,109.3862,4.2105,4.7790
t,ddpg-default,brc,320,13624,125.1840,8.8208,0.0000
t,ddpg-default,brc,330,13784,126.7781,3.6589,4.7318
t,ddpg-default,brc,340,13944,128.2978,3.5406,4.7081
t,ddpg-default,brc,350,14104,129.7729,5.1702,4.2720
t,ddpg-default,brc,360,14888,136.2016,-19.8669,0.0000
t,ddpg-default,brc,370,15056,137.5262,2.8396,4.6378
t,ddpg-default,brc,380,15216,138.7916,3.1892,4.6378
t,ddpg-default,brc,390,15376,140.4200,2.6628,4.5454
t,ddpg-default,brc,400,15552,142.2410,2.9352,4.4766
t,sac-default,gru,10,1784,6.4725,-8.7664,6.0229
t,sac-default,gru,20,3608,12.1837,-3.1379,7.2347
